THIS FILE MUST BE VIEWED FULL SCREEN
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
			Questions																												Predicted		Actual
How can anyone tell if a female had sexual intercourse ?                                                                              DESC:manner  DESC:manner
About how many Americans are still unaccounted for from the Vietnam war ?                                                             NUM:count    NUM:count
What are the odds of giving birth to twins ?                                                                                          DESC:desc    NUM:perc
What Nevil Shute novel is about the doomed survivors of a nuclear war ?                                                               ENTY:cremat  ENTY:cremat
Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?                                        HUM:ind      HUM:ind
Name the organization that is presided by a Security Council .                                                                        HUM:gr       HUM:gr
Which college did Dikembe Mutombo play basketball at ?                                                                                HUM:gr       HUM:gr
What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?                                 LOC:country  HUM:ind
Who made the first gas engine ?                                                                                                       HUM:gr       HUM:ind
What famous comedian recently tried without success to revive the play ?                                                              HUM:ind      HUM:ind
What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?                                              LOC:other    ENTY:other
Who started the Dominos Pizza chain ?                                                                                                 HUM:gr       HUM:ind
Who is Barbara Jordan ?                                                                                                               HUM:desc     HUM:desc
What does a phobophobe fear ?                                                                                                         ENTY:dismed  ENTY:other
When was the first stained glass window made ?                                                                                        NUM:date     NUM:date
Why did several San Diego schools stop serving apples to students ?                                                                   DESC:reason  DESC:reason
What country received all the Nobel Prizes awarded in 1976 ?                                                                          LOC:country  LOC:country
How did water appear on the earth ?                                                                                                   DESC:manner  DESC:manner
What happened on January 15 , 1969 ?                                                                                                  ENTY:event   ENTY:event
Where is the bridge over the river Kwai ?                                                                                             LOC:other    LOC:other
How do I get a complete list of all the people that are living with the last name Kilvington ?                                        DESC:manner  DESC:manner
Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?                                                                         HUM:ind      HUM:ind
Who are the presidents of Mexico and Indonesia ?                                                                                      HUM:ind      HUM:ind
What is the name of the second space shuttle ?                                                                                        LOC:other    ENTY:veh
What city 's airport is named Logan International ?                                                                                   LOC:city     LOC:city
What is a wart ?                                                                                                                      DESC:def     DESC:def
What Mediterranean island is home to the first Club Med ?                                                                             LOC:other    LOC:other
What does `` Semper Fidelis '' mean ?                                                                                                 DESC:def     DESC:def
What is the name of Kevin Costner 's movie about Sioux Indians ?                                                                      ENTY:cremat  ENTY:cremat
When was the bar-code invented ?                                                                                                      NUM:date     NUM:date
What Russian seaport has a name meaning `` Lord of the East '' ?                                                                      LOC:city     LOC:city
What are geckos ?                                                                                                                     DESC:def     DESC:def
How long did it take Stanley to find Livingstone ?                                                                                    NUM:period   NUM:period
Who said : `` Soldiers win the battles and generals get the credit '' ?                                                               HUM:ind      HUM:ind
What major airline has the best safety record in the world ?                                                                          HUM:gr       HUM:gr
What fruit-topped actress was known as The Brazilian Bombshell ?                                                                      ENTY:food    HUM:ind
What is the history of skateboarding ?                                                                                                DESC:desc    DESC:desc
How hot does the inside of an active volcano get ?                                                                                    DESC:manner  NUM:temp
How old was Gene Siskel ?                                                                                                             NUM:period   NUM:period
Who was Garrett Morgan married to ?                                                                                                   HUM:ind      HUM:ind
What is the difference between microprocessors & microcontrollers ?                                                                   DESC:def     DESC:desc
Who wrote the song , `` Silent Night '' ?                                                                                             HUM:ind      HUM:ind
What causes panic attacks ?                                                                                                           DESC:reason  DESC:reason
Who is the composer of `` Canon in D Major '' ?                                                                                       HUM:ind      HUM:ind
What does S.O.S. stand for ?                                                                                                          ABBR:exp     ABBR:exp
Name a South African diamond producer ?                                                                                               HUM:gr       HUM:gr
What 's been the ruin of many a poor boy in New Orleans ?                                                                             DESC:reason  ENTY:other
What country has the highest per capita consumption of cheese ?                                                                       LOC:country  LOC:country
What started in 1849 when gold was discovered at Sutter 's Mill ?                                                                     ENTY:other   ENTY:event
What is the origin of the candy cane at Christmas ?                                                                                   DESC:desc    DESC:desc
What is endometriosis ?                                                                                                               DESC:def     DESC:def
Who portrayed Field Marshal Erwin Rommel in The Desert Fox ?                                                                          HUM:ind      HUM:ind
What does a pedometer measure ?                                                                                                       DESC:def     ENTY:other
What river flows through Vienna , Budapest and Belgrade ?                                                                             LOC:other    LOC:other
Which of the following celebrities was not born in Philadelphia ?                                                                     HUM:ind      HUM:ind
Why do eyes sometimes look red in photographs ?                                                                                       DESC:reason  DESC:reason
Name the four stories contained in Edith Wharton 's `` Old New York . ''                                                              HUM:ind      ENTY:cremat
Where did Honecker rule ?                                                                                                             LOC:other    LOC:other
What was the name of Roy Rogers 's dog ?                                                                                              ENTY:animal  ENTY:animal
What part of Britain comprises the Highlands , Central Lowlands , and Southern Uplands ?                                              LOC:country  LOC:other
Who provides telephone service in Orange County , California ?                                                                        LOC:other    HUM:gr
What are the odds of giving birth to twins ?                                                                                          DESC:desc    NUM:perc
What singer 's theme song was When the Moon Comes over the Mountain ?                                                                 HUM:ind      HUM:ind
Boxing Day is celebrated on what date ?                                                                                               NUM:date     NUM:date
What was Queen Victoria 's title regarding India ?                                                                                    DESC:desc    HUM:title
What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .                                                                     ABBR:exp     LOC:country
What was the name of the US helicopter pilot shot down over North Korea ?                                                             ENTY:veh     HUM:ind
What one of the Backstreet Boys are single ?                                                                                          ENTY:other   HUM:ind
What movie has made the most money ?                                                                                                  ENTY:cremat  ENTY:cremat
What Kenyan city is the safari center for East Africa ?                                                                               LOC:other    LOC:city
What color is the eight-ball in pocket billiards ?                                                                                    ENTY:sport   ENTY:color
What does a spermologer collect ?                                                                                                     ENTY:other   ENTY:other
What was the target rate for M3 growth in 1992 ?                                                                                      NUM:money    NUM:perc
How many Israeli athletes were killed at the Munich Olympics ?                                                                        NUM:count    NUM:count
Which country did Hitler rule ?                                                                                                       LOC:country  LOC:country
How many American soldiers are stationed in South Korea ?                                                                             NUM:count    NUM:count
What Judith Rossner novel was made into a film starring Diane Keaton ?                                                                ENTY:cremat  ENTY:cremat
What ill-fated American general dragged a bull terrier named Willie through World War II ?                                            ENTY:animal  HUM:ind
How many quarters equal a pound ?                                                                                                     NUM:count    NUM:count
Where did the Japanese Imperial Forces surrender to end WWII ?                                                                        LOC:other    LOC:other
What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?                                              HUM:ind      HUM:ind
How many chemical elements are there ?                                                                                                NUM:count    NUM:count
What California bay 's largest island is Angel Island ?                                                                               LOC:other    LOC:other
What is June 's birthstone ?                                                                                                          ENTY:other   DESC:def
What movie did Madilyn Kahn star in with Gene Wilder ?                                                                                ENTY:cremat  ENTY:cremat
Who was the mother of the man who would not be king , the duke of Windsor ?                                                           HUM:ind      HUM:ind
What was Hitler 's favorite movie ?                                                                                                   ENTY:cremat  ENTY:cremat
Why are so many umbrellas black ?                                                                                                     DESC:reason  DESC:reason
What is it that walks on four legs , then on two legs , then on three ?                                                               HUM:ind      ENTY:other
What 's the largest U.S. city on the Great Lakes ?                                                                                    LOC:city     LOC:city
How old is the sun ?                                                                                                                  NUM:period   NUM:period
What American won the world Grand Prix driving championship in 1978 ?                                                                 ENTY:sport   HUM:ind
What British monarch 's lap did P.T. Barnum 's Tom Thumb sit in ?                                                                     ENTY:animal  HUM:ind
Where are the headquarters of Eli Lilly ?                                                                                             LOC:other    LOC:other
What was Einstein 's IQ ?                                                                                                             NUM:other    NUM:other
What little boy and dog live in a shoe ?                                                                                              ENTY:animal  HUM:ind
Who received the Will Rogers Award in 1989 ?                                                                                          HUM:ind      HUM:ind
What California governor said : `` Inaction may be the highest form of action '' ?                                                    HUM:ind      HUM:ind
How many letters appear with the numbers 2 to 9 on a telephone dial ?                                                                 NUM:count    NUM:count
Where can I find a `` Fifth Element '' screensaver ?                                                                                  LOC:other    LOC:other
Where were the 196 Summer Olympics held ?                                                                                             LOC:other    LOC:other
What 's the singular of dice ?                                                                                                        DESC:def     ENTY:word
Which two inventors invented Post-its ?                                                                                               HUM:ind      HUM:ind
Who does data collection in tourism ?                                                                                                 HUM:ind      HUM:ind
What country other than Germany invaded Poland in September 1939 ?                                                                    LOC:country  LOC:country
What is the location of Edinburgh , Scotland ?                                                                                        LOC:other    LOC:other
How many years of bad luck follow breaking a mirror ?                                                                                 NUM:count    NUM:count
What is the origin of the word Ozymandias ?                                                                                           DESC:desc    DESC:desc
What 1920s cowboy star rode Tony the Wonder Horse ?                                                                                   HUM:ind      HUM:ind
What European country 's monarchy was restored in 1975 ?                                                                              LOC:country  LOC:country
What was the name of Sergeant Preston of the Yukon 's lead dog ?                                                                      ENTY:animal  ENTY:animal
Why is poop sometimes different colors ?                                                                                              ENTY:color   DESC:reason
What countries does the Mont Blanc Tunnel join ?                                                                                      LOC:mount    LOC:country
Where is Tornado Alley ?                                                                                                              LOC:other    LOC:other
What is a fear of slime ?                                                                                                             ENTY:dismed  ENTY:dismed
Who is Rocky 's and Bullwinkle 's ever-lost friend ?                                                                                  HUM:ind      HUM:ind
How many points make up a perfect fivepin bowling score ?                                                                             NUM:count    NUM:count
What 's the most popular four-player game of all time ?                                                                               ENTY:sport   ENTY:sport
What was Suzy Parker doing to earn $1 , 000 in the early 1950 's ?                                                                    DESC:reason  DESC:desc
What was an `` Asiento '' ?                                                                                                           DESC:def     DESC:def
When does the average teenager first have intercourse ?                                                                               NUM:date     NUM:date
What is witch hazel ?                                                                                                                 DESC:def     DESC:def
What level of government or governmental agency is responsible for dealing with racism ?                                              HUM:gr       HUM:gr
Where is it planned to berth the merchant ship , Lane Victory , which Merchant Marine veterans are converting into a floating museum ?ENTY:veh     LOC:other
What does hazmat stand for ?                                                                                                          DESC:def     DESC:def
Name the various super-teams to which the Angel has belonged .                                                                        HUM:gr       HUM:gr
What is a fear of thunder ?                                                                                                           ENTY:dismed  ENTY:dismed
When was `` the Great Depression '' ?                                                                                                 NUM:date     NUM:date
What are liver enzymes ?                                                                                                              DESC:def     DESC:def
What is a cake of soap ?                                                                                                              ENTY:food    DESC:def
What playing card symbolizes death ?                                                                                                  HUM:ind      ENTY:symbol
What 's the home of the Rockettes ?                                                                                                   HUM:gr       LOC:other
Who asked you to do the Loco-Motion with her in 1962 ?                                                                                HUM:ind      HUM:ind
Name a Gaelic language .                                                                                                              ENTY:lang    ENTY:lang
What shrubs can be planted that will be safe from deer ?                                                                              ENTY:plant   ENTY:plant
What are the lyrics to `` Smelly Cat '' ?                                                                                             DESC:def     DESC:desc
What city boasts Penn 's Landing , on the banks of the Delaware river ?                                                               LOC:city     LOC:city
What two Caribbean countries share the island of Hispaniola ?                                                                         LOC:country  LOC:country
What is the mascot for Notre Dame University ?                                                                                        LOC:other    ENTY:other
What was Mark Johnson referring to when he said : `` I still can 't believe it- we beat the Russians ? ''                             HUM:ind      ENTY:termeq
Name the scar-faced bounty hunter of The Old West .                                                                                   HUM:ind      HUM:ind
What country borders the most others ?                                                                                                LOC:country  LOC:country
When was Nostradamus born ?                                                                                                           NUM:date     NUM:date
Who was the Democratic nominee in the American presidential election ?                                                                HUM:ind      HUM:ind
How is silk screening done ?                                                                                                          DESC:manner  DESC:manner
How can you get rust stains out of clothing ?                                                                                         DESC:manner  DESC:manner
How big is Australia ?                                                                                                                NUM:volsize  NUM:volsize
How many electoral college votes does Colorado have ?                                                                                 NUM:count    NUM:count
What famous comic strip character died of acne ?                                                                                      HUM:ind      HUM:ind
What 's the green variety of beryl called ?                                                                                           DESC:def     ENTY:termeq
How do you tell somebody you like them ?                                                                                              DESC:manner  DESC:manner
What is the capital of Burkina Faso ?                                                                                                 LOC:city     LOC:city
How does a copier work ?                                                                                                              DESC:manner  DESC:manner
Who is the director of intergovernmental affairs for the San Diego county ?                                                           HUM:ind      HUM:ind
Where is the Kalahari desert ?                                                                                                        LOC:other    LOC:other
What food can I use to catch a possum ?                                                                                               ENTY:animal  ENTY:food
What is platinum ?                                                                                                                    DESC:def     DESC:def
What are the different approaches of systems analysis ?                                                                               DESC:def     ENTY:techmeth
What 's the nickname of oddsmaker Jimmy Snyder ?                                                                                      HUM:gr       HUM:ind
What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?            HUM:ind      ENTY:other
What is a fear of drinking ?                                                                                                          ENTY:dismed  ENTY:dismed
What has been the most common Christian name of U.S. presidents ?                                                                     HUM:ind      HUM:ind
Who took over as conductor of the Boston Pops after Arthur Fiedler 's long reign ?                                                    HUM:ind      HUM:ind
What card game can feature dealer 's choice ?                                                                                         ENTY:sport   ENTY:sport
Who killed Lee Harvey Oswald ?                                                                                                        HUM:ind      HUM:ind
What does the name Calder mean ?                                                                                                      DESC:def     DESC:def
How does the Elongated Man know a mystery is afoot ?                                                                                  DESC:manner  DESC:manner
How do you say 2 in Latin ?                                                                                                           ENTY:termeq  ENTY:termeq
Who reports the weather on the `` Good Morning America '' television show ?                                                           HUM:ind      HUM:ind
What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?                                                       HUM:gr       ENTY:event
What color are tennis balls ?                                                                                                         ENTY:color   ENTY:color
What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy ?                                                   ENTY:cremat  ENTY:cremat
Who is Prince Naseem Hamed ?                                                                                                          HUM:desc     HUM:desc
What did Thomas Paine write ?                                                                                                         ENTY:other   ENTY:cremat
How do you make panoramic sugar eggs for Easter - the ones with the scene inside ?                                                    NUM:count    DESC:manner
What are Maid-Rites ?                                                                                                                 DESC:def     DESC:def
What century does Captain Video live in ?                                                                                             ENTY:other   NUM:date
What kind of patent did Ermal Fraze get in 1963 ?                                                                                     ENTY:cremat  ENTY:other
How can I find out how much it costs to raise a baby for six months ?                                                                 NUM:money    DESC:manner
What does an irate car owner call iron oxide ?                                                                                        NUM:money    ENTY:termeq
What does Warner Bros. call a flightless cuckoo ?                                                                                     ENTY:animal  ENTY:termeq
What ratio of children of ages between two and eleven watch ` The Simpsons ' ?                                                        NUM:perc     NUM:perc
What are binomial coefficients ?                                                                                                      DESC:desc    DESC:def
Which one of the Great Lakes is entirely within U.S. territory ?                                                                      LOC:country  LOC:other
Where is the Mayo Clinic ?                                                                                                            LOC:other    LOC:other
What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?                                                             HUM:title    DESC:desc
What religion has the most members ?                                                                                                  HUM:title    ENTY:religion
What was Michelangelo 's last name ?                                                                                                  HUM:ind      HUM:ind
How much does a poodle weigh ?                                                                                                        NUM:weight   NUM:weight
How many cables support the main span of the Golden Gate Bridge ?                                                                     NUM:count    NUM:count
How do I find info about rice importers in the world ?                                                                                DESC:manner  DESC:manner
How many different countries export coffee ?                                                                                          NUM:count    NUM:count
What university football team did O.J. Simpson take to the Rose Bowl ?                                                                HUM:gr       HUM:gr
Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?                                                          HUM:ind      LOC:other
What is a Canada two-penny black ?                                                                                                    DESC:desc    DESC:def
How much will gas be taxed in California by the year 2000 ?                                                                           NUM:money    NUM:money
Who was the first woman golfer to earn a million ?                                                                                    HUM:ind      HUM:ind
What is the most common cancer ?                                                                                                      ENTY:dismed  ENTY:dismed
Who was Confucius ?                                                                                                                   HUM:desc     HUM:desc
What is the hair style called that new military recruits receive ?                                                                    HUM:gr       DESC:def
What bird can swim but can 't fly ?                                                                                                   LOC:other    ENTY:animal
What does 7847+5943 equal ?                                                                                                           DESC:def     NUM:other
What is the Bernoulli Principle ?                                                                                                     DESC:def     DESC:def
What day is known as the `` national day of prayer '' ?                                                                               DESC:desc    NUM:date
Who leads the star ship Enterprise in Star Trek ?                                                                                     HUM:ind      HUM:ind
What is the most useful site on the Internet ?                                                                                        ENTY:other   LOC:other
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
																														F1 Accuracy (%): 69.2844677137871		
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
